itemId,definitionId,displayName,assetKey,file
weapon.lpw.rifle.01,lpw.rifle.01,"现代突击步枪 01",lpw/AssaultRifle1_01,weapon_lpw_rifle_01_front-side.png
weapon.lpw.rifle.02,lpw.rifle.02,"现代突击步枪 02",lpw/AssaultRifle2_01,weapon_lpw_rifle_02_front-side.png
weapon.lpw.rifle.03,lpw.rifle.03,"现代突击步枪 03",lpw/AssaultRifle3_01,weapon_lpw_rifle_03_front-side.png
weapon.lpw.rifle.04,lpw.rifle.04,"现代突击步枪 04",lpw/AssaultRifle4_01,weapon_lpw_rifle_04_front-side.png
weapon.lpw.rifle.05,lpw.rifle.05,"现代突击步枪 05",lpw/AssaultRifle5_01,weapon_lpw_rifle_05_front-side.png
weapon.lpw.rifle.06,lpw.rifle.06,"现代突击步枪 06",lpw/AssaultRifle6_01,weapon_lpw_rifle_06_front-side.png
weapon.lpw.pistol.01,lpw.pistol.01,"战术半自动手枪 01",lpw/Pistol1_01,weapon_lpw_pistol_01_front-side.png
weapon.lpw.pistol.02,lpw.pistol.02,"战术半自动手枪 02",lpw/Pistol2_01,weapon_lpw_pistol_02_front-side.png
weapon.lpw.pistol.03,lpw.pistol.03,"战术半自动手枪 03",lpw/Pistol3_01,weapon_lpw_pistol_03_front-side.png
weapon.lpw.pistol.04,lpw.pistol.04,"战术半自动手枪 04",lpw/Pistol4_01,weapon_lpw_pistol_04_front-side.png
weapon.lpw.pistol.05,lpw.pistol.05,"战术半自动手枪 05",lpw/Pistol5_01,weapon_lpw_pistol_05_front-side.png
weapon.lpw.pistol.06,lpw.pistol.06,"战术半自动手枪 06",lpw/Pistol6_01,weapon_lpw_pistol_06_front-side.png
weapon.lpw.shotgun.01,lpw.shotgun.01,"战术霰弹枪 01",lpw/Shotgun1_01,weapon_lpw_shotgun_01_front-side.png
weapon.lpw.shotgun.02,lpw.shotgun.02,"战术霰弹枪 02",lpw/Shotgun2_01,weapon_lpw_shotgun_02_front-side.png
weapon.lpw.shotgun.03,lpw.shotgun.03,"战术霰弹枪 03",lpw/Shotgun3_01,weapon_lpw_shotgun_03_front-side.png
weapon.lpw.shotgun.04,lpw.shotgun.04,"战术霰弹枪 04",lpw/Shotgun4_01,weapon_lpw_shotgun_04_front-side.png
weapon.lpw.shotgun.05,lpw.shotgun.05,"战术霰弹枪 05",lpw/Shotgun5_01,weapon_lpw_shotgun_05_front-side.png
weapon.lpw.smg.01,lpw.smg.01,"紧凑型冲锋枪 01",lpw/SMG1_01,weapon_lpw_smg_01_front-side.png
weapon.lpw.smg.02,lpw.smg.02,"紧凑型冲锋枪 02",lpw/SMG2_01,weapon_lpw_smg_02_front-side.png
weapon.lpw.smg.03,lpw.smg.03,"紧凑型冲锋枪 03",lpw/SMG3_01,weapon_lpw_smg_03_front-side.png
weapon.lpw.smg.04,lpw.smg.04,"紧凑型冲锋枪 04",lpw/SMG4_01,weapon_lpw_smg_04_front-side.png
weapon.lpw.smg.05,lpw.smg.05,"紧凑型冲锋枪 05",lpw/SMG5_01,weapon_lpw_smg_05_front-side.png
weapon.lpw.smg.06,lpw.smg.06,"紧凑型冲锋枪 06",lpw/SMG6_01,weapon_lpw_smg_06_front-side.png
weapon.lpw.sniper.01,lpw.sniper.01,"精确射手步枪 01",lpw/SniperRifle1_01,weapon_lpw_sniper_01_front-side.png
weapon.lpw.sniper.02,lpw.sniper.02,"精确射手步枪 02",lpw/SniperRifle2_01,weapon_lpw_sniper_02_front-side.png
weapon.lpw.sniper.03,lpw.sniper.03,"精确射手步枪 03",lpw/SniperRifle3_01,weapon_lpw_sniper_03_front-side.png
weapon.lpw.sniper.04,lpw.sniper.04,"精确射手步枪 04",lpw/SniperRifle4_01,weapon_lpw_sniper_04_front-side.png
weapon.lpw.sniper.05,lpw.sniper.05,"精确射手步枪 05",lpw/SniperRifle5_01,weapon_lpw_sniper_05_front-side.png
weapon.lpw.sniper.06,lpw.sniper.06,"精确射手步枪 06",lpw/SniperRifle6_01,weapon_lpw_sniper_06_front-side.png
